위도,경도,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,pressure_msl_mean,soil_temperature_0_to_7cm_mean
37.3526,126.741,2024-10-23,53.0,15.8,8.1,12.7,13.4,5.6,9.2,2.1,2.1,0.0,7.0,8.34,16.7,291.0,10.27,2.12,39418.8,27922.65,73.0,87.0,59.0,8.0,13.7,5.2,1016.0,14.8
37.3537,126.7222,2024-02-02,3.0,4.0,-2.9,0.7,0.6,-6.9,-2.7,0.0,0.0,0.0,0.0,2.69,5.5,258.0,7.64,0.81,37249.21,22760.1,79.0,94.0,64.0,-2.6,-1.4,-4.2,1027.7,0.6
37.3537,126.7222,2024-03-13,1.0,9.2,-1.2,4.4,5.9,-5.5,0.6,0.0,0.0,0.0,0.0,6.23,11.9,251.0,19.3,2.24,42685.94,40023.77,70.0,83.0,53.0,-0.8,1.5,-4.9,1020.9,5.5
37.3537,126.7222,2024-04-18,0.0,20.0,6.7,13.0,19.4,4.8,11.5,0.0,0.0,0.0,0.0,3.81,8.2,282.0,23.44,3.87,47818.9,45548.69,72.0,95.0,46.0,7.6,10.8,5.9,1010.9,15.0
37.3537,126.7222,2025-01-02,3.0,4.6,-3.3,-0.5,-0.6,-7.6,-5.1,0.0,0.0,0.0,0.0,3.82,7.7,328.0,10.01,1.41,34725.91,31965.12,49.0,73.0,20.0,-10.9,-6.3,-16.4,1025.7,0.2
37.3537,126.7222,2025-04-22,63.0,18.1,14.3,16.2,19.2,13.4,16.8,28.3,28.3,0.0,18.0,3.61,8.0,4.0,5.14,0.92,48311.48,8288.38,94.0,100.0,82.0,15.3,17.2,12.1,1006.4,16.3
37.3576,127.9567,2025-09-13,65.0,26.1,20.1,22.4,28.5,22.9,25.1,64.9,64.9,0.0,11.0,3.94,8.5,36.0,11.82,2.38,45074.19,19337.8,87.0,99.0,69.0,20.0,22.9,18.1,1007.0,22.2
37.3576,127.9567,2026-02-05,51.0,8.1,-2.0,1.8,3.9,-5.7,-1.4,0.3,0.3,0.0,2.0,4.1,8.9,232.0,5.8,0.73,37691.45,13934.12,82.0,98.0,60.0,-1.0,2.1,-4.7,1018.6,-0.2
37.3578,126.9307,2025-04-07,1.0,18.1,3.6,10.5,15.4,0.8,7.5,0.0,0.0,0.0,0.0,5.13,11.7,192.0,22.41,3.76,46249.55,43514.05,65.0,90.0,35.0,3.3,5.1,1.5,1016.6,9.7
37.3588,127.1198,2025-04-03,3.0,14.4,0.1,6.7,13.4,-2.9,4.2,0.0,0.0,0.0,0.0,3.98,10.2,340.0,20.49,2.93,45678.61,41455.9,71.0,98.0,35.0,1.0,3.5,-1.0,1020.5,6.8
