temperature_2m_min,temperature_2m_max,precipitation_sum,snowfall_sum,rain_sum,wind_speed_10m_max,relative_humidity_2m_mean,soil_temperature_0_to_7cm_mean,평수,실평수,진열평수,창고,계약면적(㎡),매장인원,입고도우미PO,일평균매출,일평균물동량,형태,매장명,지역,위도,경도,매장,발생일시,incident_id,label
23.9,30.6,1.7,0.0,1.7,14.2,87,27.0,300.0,280.0,251.0,20.0,989.31,10.9,0.8,12479553.57142857,250.0,직영점,화성진안점,수원팀,37.2142,127.0413,10832.0,2025-08-16,NEG-10832.0-2025-08-16,0
20.6,30.5,0.7,0.0,0.7,15.6,71,27.2,300.0,280.0,251.0,20.0,989.31,10.9,0.8,12479553.57142857,250.0,직영점,화성진안점,수원팀,37.2142,127.0413,10832.0,2025-06-08,NEG-10832.0-2025-06-08,0
19.4,27.1,5.3,0.0,5.3,12.4,62,24.6,300.0,280.0,251.0,20.0,989.31,10.9,0.8,12479553.57142857,250.0,직영점,화성진안점,수원팀,37.2142,127.0413,10832.0,2025-06-13,NEG-10832.0-2025-06-13,0
9.8,21.6,0.0,0.0,0.0,10.3,78,15.3,304.0,284.0,262.0,20.0,1695.18,11.4,0.6,13591357.142857144,272.0,직영점,인천가정동점,북인천팀,37.5265,126.6697,10838.0,2024-10-26,NEG-10838.0-2024-10-26,0
-6.1,0.3,0.0,0.0,0.0,18.8,54,-2.2,304.0,284.0,262.0,20.0,1695.18,11.4,0.6,13591357.142857144,272.0,직영점,인천가정동점,북인천팀,37.5265,126.6697,10838.0,2025-01-08,NEG-10838.0-2025-01-08,0
-8.9,0.3,0.0,0.0,0.0,20.0,54,-1.5,304.0,284.0,262.0,20.0,1695.18,11.4,0.6,13591357.142857144,272.0,직영점,인천가정동점,북인천팀,37.5265,126.6697,10838.0,2025-01-07,NEG-10838.0-2025-01-07,0
22.6,30.3,0.0,0.0,0.0,12.3,80,26.7,300.0,281.0,266.0,19.0,996.72,7.0,0.9,8558678.57142857,171.0,직영점,일산덕이점,일산팀,37.6895,126.7597,10840.0,2025-08-07,NEG-10840.0-2025-08-07,0
5.2,12.8,0.0,0.0,0.0,17.9,56,10.7,300.0,281.0,266.0,19.0,996.72,7.0,0.9,8558678.57142857,171.0,직영점,일산덕이점,일산팀,37.6895,126.7597,10840.0,2024-11-05,NEG-10840.0-2024-11-05,0
-2.6,5.7,0.0,0.0,0.0,14.3,64,0.9,300.0,281.0,266.0,19.0,996.72,7.0,0.9,8558678.57142857,171.0,직영점,일산덕이점,일산팀,37.6895,126.7597,10840.0,2024-12-11,NEG-10840.0-2024-12-11,0
24.8,35.1,0.0,0.0,0.0,9.6,76,29.5,300.0,281.0,266.0,19.0,996.72,7.0,0.9,8558678.57142857,171.0,직영점,일산덕이점,일산팀,37.6895,126.7597,10840.0,2025-07-26,NEG-10840.0-2025-07-26,0
24.6,37.0,0.0,0.0,0.0,11.0,64,33.4,300.0,281.0,266.0,19.0,996.72,7.0,0.9,8558678.57142857,171.0,직영점,일산덕이점,일산팀,37.6895,126.7597,10840.0,2025-07-29,NEG-10840.0-2025-07-29,0
-4.9,1.8,0.0,0.0,0.0,14.2,61,0.2,300.0,281.0,266.0,19.0,996.72,7.0,0.9,8558678.57142857,171.0,직영점,일산덕이점,일산팀,37.6895,126.7597,10840.0,2024-12-14,NEG-10840.0-2024-12-14,0
